40,45,11,7,17
22,24,10,27,16
24,49,35,4,37
27,21,18,13,45
29,37,1,32,31
32,36,8,49,31
16,21,11,40,13
0,48,25,45,31
39,26,15,32,46
38,0,15,43,16
29,21,22,14,24
26,40,44,11,36
2,33,38,16,0
13,36,7,41,42
21,27,29,10,39
8,39,42,22,0
40,32,44,27,43
16,18,37,2,42
39,6,25,27,30
30,21,37,27,7
24,46,32,44,0
29,34,30,21,16
30,42,20,13,37
9,42,17,41,27
7,25,20,2,11
4,8,43,24,6
13,1,42,37,32
1,8,20,19,27
25,16,43,27,10
4,47,16,43,40
38,12,25,17,29
26,43,2,11,37
16,13,35,45,20
14,12,41,24,25
8,30,28,20,48
42,29,38,18,13
37,20,23,21,2
30,26,12,28,42
45,49,22,12,9
49,0,25,29,18
42,19,2,17,38
27,20,11,9,2
14,26,13,15,25
41,5,23,3,47
14,7,1,49,45
10,32,38,2,25
11,20,18,35,15
25,22,21,30,24
7,48,10,19,23
7,8,27,31,12
41,31,24,11,48
29,48,14,32,31
0,34,35,19,43
30,28,15,8,34
5,20,1,49,38
5,15,22,42,7
44,27,38,37,9
24,13,42,18,47
38,48,33,44,25
15,36,16,10,0
27,42,44,34,43
46,15,23,45,32
21,5,16,14,3
36,45,26,4,12
40,4,22,49,36
6,44,4,20,24
25,33,22,21,20
41,15,9,35,6
36,37,8,15,13
18,15,21,31,10
12,20,15,19,14
31,12,34,11,23
23,5,14,12,1
7,19,1,12,10
25,27,29,40,37
36,38,2,12,13
1,49,8,5,28
4,16,46,19,0
37,6,45,42,29
3,29,0,25,6
33,5,34,24,45
12,18,37,8,21
20,48,16,31,13
9,13,32,1,21
43,25,32,31,2
16,22,1,17,18
36,6,49,35,25
30,32,48,39,9
43,6,29,22,45
28,38,12,8,45
31,28,36,24,22
1,16,4,6,49
9,39,1,24,31
20,30,8,11,23
20,48,28,21,38
16,42,31,49,23
24,32,8,3,31
24,33,7,23,16
36,49,14,2,29
33,47,8,39,3
