8,28,39,13,31,29,11,43,7,0
26,1,0,38,43,31,45,8,13,0
0,4,15,16,9,19,17,30,35,0
0,20,7,12,19,25,18,49,14,0
14,1,39,12,25,37,35,6,26,0
45,35,11,17,33,24,34,15,4,0
40,1,17,46,22,2,28,31,26,0
22,31,49,23,21,32,39,27,9,0
35,34,4,31,5,18,20,32,28,0
23,13,24,49,10,39,14,26,5,0
11,10,35,40,16,23,22,44,30,0
4,14,33,8,12,25,43,39,47,0
44,45,31,41,30,27,5,38,21,0
9,41,33,25,49,34,39,5,13,0
45,44,20,2,49,27,38,15,37,0
18,5,14,12,8,4,21,38,46,0
11,28,42,10,8,36,47,15,4,0
19,37,30,21,24,35,33,12,47,0
9,15,11,47,10,25,37,22,23,0
9,43,19,42,40,8,6,13,24,0
33,37,17,10,19,46,44,43,31,0
20,44,36,22,28,13,11,6,18,0
43,23,46,21,25,20,44,18,3,0
22,43,33,20,36,45,16,41,24,0
7,37,30,6,17,35,41,12,48,0
15,34,22,19,40,45,12,23,25,0
43,10,44,17,4,12,7,20,13,0
1,22,36,32,24,15,37,3,21,0
15,44,34,36,41,17,1,33,14,0
42,21,44,29,7,35,18,46,11,0
45,24,2,34,36,15,29,32,49,0
8,42,23,36,22,9,45,33,41,0
35,42,25,27,7,33,2,44,6,0
45,33,29,10,1,9,41,34,46,0
46,33,37,22,25,13,0,4,31,0
41,12,0,22,19,17,26,38,47,0
23,38,2,46,30,1,11,9,49,0
13,43,45,30,15,46,38,29,27,0
48,26,43,10,14,23,0,47,5,0
28,30,41,37,34,16,13,5,11,0
11,28,26,7,6,0,34,23,17,0
15,7,31,5,27,35,23,11,3,0
5,30,37,48,47,4,11,17,12,0
46,33,1,3,21,49,5,9,10,0
46,13,18,3,23,45,7,10,27,0
15,17,23,16,3,48,41,12,31,0
45,30,26,16,6,23,15,20,31,0
17,7,43,16,44,5,45,2,15,0
35,34,41,28,31,45,23,47,48,0
31,6,42,0,44,29,49,32,25,0
15,10,49,5,35,21,28,16,39,0
49,13,38,35,26,3,10,17,25,0
3,6,17,15,14,8,25,0,12,0
37,3,17,20,19,11,7,39,34,0
42,38,44,13,6,10,24,49,47,0
18,0,12,33,23,31,27,46,6,0
20,36,47,12,46,1,37,44,5,0
35,17,46,31,49,9,42,37,41,0
22,18,24,16,17,0,27,2,42,0
48,18,26,11,13,23,19,43,24,0
41,47,6,23,8,11,13,10,20,0
42,31,34,3,41,37,46,47,35,0
8,27,21,3,12,10,13,33,4,0
28,6,41,20,22,46,26,33,5,0
46,14,9,23,6,20,16,19,8,0
1,18,31,15,28,48,21,29,36,0
1,14,31,4,18,7,41,33,20,0
16,35,36,9,22,38,45,40,2,0
46,10,39,41,42,17,37,21,14,0
38,20,10,0,49,12,40,44,4,0
24,36,35,21,31,10,8,25,26,0
44,34,36,24,48,41,19,28,20,0
44,31,13,4,30,47,12,43,5,0
18,36,40,0,31,47,3,37,8,0
41,24,17,32,26,38,49,29,40,0
46,42,14,8,35,24,45,33,22,0
2,27,26,15,24,40,18,36,42,0
28,1,29,34,26,22,5,16,42,0
0,34,24,32,18,20,9,45,19,0
27,14,39,47,10,4,8,24,32,0
7,40,48,4,30,31,22,37,38,0
21,7,31,40,44,37,36,16,34,0
12,45,20,10,8,5,13,36,25,0
20,33,4,39,43,25,0,44,46,0
1,4,29,32,13,37,14,46,35,0
35,40,22,46,0,49,31,1,25,0
49,3,25,7,40,15,44,42,13,0
43,6,40,32,49,37,29,2,48,0
13,38,44,15,36,46,22,16,17,0
37,46,10,36,44,8,14,1,16,0
11,2,22,48,6,41,19,32,16,0
5,43,15,39,4,45,20,9,13,0
45,39,3,17,10,11,46,15,23,0
48,2,9,16,19,49,24,46,30,0
32,47,3,24,37,13,36,17,7,0
8,22,49,9,1,44,26,46,40,0
16,0,47,20,32,10,24,33,29,0
15,19,0,26,2,1,35,18,5,0
49,12,20,9,34,41,4,42,14,0
20,26,14,10,46,48,15,35,47,0
49,45,1,34,37,29,12,13,6,0
32,19,6,38,22,31,42,17,0,0
48,1,47,43,13,18,9,24,49,0
37,27,15,14,23,7,0,21,24,0
28,15,11,40,21,35,41,9,27,0
26,10,36,41,28,46,13,31,32,0
30,2,46,25,5,24,43,23,34,0
18,39,37,49,12,11,6,0,21,0
1,45,0,12,18,24,6,17,5,0
31,24,22,48,7,4,30,14,29,0
37,43,49,7,18,31,0,36,28,0
19,33,23,14,25,0,39,35,45,0
47,16,0,49,19,34,11,9,10,0
39,33,2,23,6,45,25,17,29,0
2,38,18,7,12,42,6,40,1,0
44,10,25,40,17,5,34,32,18,0
33,36,7,22,32,44,28,8,41,0
25,37,28,19,31,45,1,42,8,0
41,5,21,28,29,13,39,42,11,0
38,13,19,4,23,34,9,32,47,0
1,0,36,7,2,11,41,28,15,0
9,3,33,19,18,16,12,2,46,0
5,15,8,34,49,21,25,30,9,0
33,4,34,41,9,40,24,39,2,0
1,12,7,38,8,47,36,24,48,0
7,49,3,4,19,16,2,46,28,0
36,16,41,30,2,48,18,14,33,0
32,25,33,37,1,14,28,0,20,0
14,1,0,43,39,20,32,15,12,0
30,29,8,35,10,3,24,9,44,0
21,29,36,17,30,12,34,6,40,0
3,2,20,18,10,19,22,36,14,0
39,6,21,20,8,10,31,4,3,0
46,31,42,35,4,30,19,9,14,0
49,17,19,40,23,12,21,8,37,0
43,22,33,0,40,18,19,44,37,0
21,23,7,24,26,22,20,1,29,0
12,4,34,18,7,19,49,0,8,0
28,32,40,36,29,22,42,12,15,0
34,11,48,10,44,29,24,25,43,0
20,9,0,33,42,22,37,18,12,0
20,32,3,45,29,23,28,4,21,0
9,21,5,29,40,17,10,36,35,0
7,15,25,44,39,24,26,3,13,0
45,31,32,47,36,15,20,39,46,0
8,28,22,40,17,46,2,45,6,0
23,48,18,25,4,43,0,49,33,0
45,5,25,36,43,23,16,47,26,0
14,1,18,12,26,27,34,8,20,0
43,25,46,42,32,20,47,33,38,0
4,45,17,25,6,22,1,2,12,0
47,36,0,5,10,27,38,33,16,0
7,22,8,30,39,48,42,32,37,0
40,6,8,31,16,45,23,25,5,0
12,45,46,25,3,22,1,24,5,0
20,37,36,46,28,24,14,44,9,0
24,18,46,14,16,37,1,6,41,0
25,34,21,22,6,12,45,11,17,0
31,27,29,25,47,40,16,9,18,0
21,31,2,25,11,19,6,10,48,0
44,17,4,46,42,35,23,49,21,0
14,21,41,34,22,16,8,1,39,0
22,6,40,49,48,18,1,13,23,0
36,10,5,41,11,9,2,22,31,0
20,12,15,0,21,44,10,28,42,0
45,18,43,38,26,22,41,37,23,0
36,31,18,10,47,13,24,45,0,0
4,34,6,17,41,43,8,16,10,0
23,14,3,22,45,48,36,37,9,0
10,30,31,9,21,22,29,8,13,0
22,21,19,3,12,29,6,42,35,0
8,35,36,11,9,37,18,15,45,0
6,1,2,3,29,30,33,42,20,0
17,0,33,5,15,27,26,45,23,0
20,14,36,40,35,21,49,1,44,0
40,3,45,6,28,39,29,33,9,0
22,25,13,39,47,10,7,17,6,0
0,47,25,26,17,28,20,34,42,0
35,26,30,31,38,44,41,48,21,0
32,9,13,22,24,12,34,3,28,0
5,4,9,35,47,18,6,22,24,0
40,47,21,27,7,48,32,3,22,0
30,0,35,48,13,25,21,44,20,0
22,34,20,1,28,10,6,16,46,0
39,36,33,42,16,2,11,8,22,0
16,12,3,30,5,45,34,23,47,0
29,44,13,18,19,32,0,35,37,0
47,19,38,13,35,12,49,41,21,0
25,16,10,20,47,12,35,14,34,0
16,11,3,27,0,14,26,19,15,0
6,1,39,27,9,12,28,16,44,0
27,41,22,35,18,3,42,28,39,0
27,1,15,16,49,42,20,33,11,0
15,16,44,40,19,48,30,25,38,0
17,35,21,39,28,38,34,49,0,0
10,7,15,17,14,26,48,32,21,0
15,33,6,10,38,7,45,46,8,0
12,15,48,18,30,40,43,36,39,0
26,21,43,32,23,3,27,24,6,0
35,19,12,46,40,28,49,7,29,0
