76.86,6.3210089802742,0.9313304721030042,0.9746568109820486,0.8568181818181818,0.7596759675967597,0.5846802529866479,0.9129989764585466,0.39718482252141984,0.8575471698113207,0.9615384615384616,0.9204771371769384,0.434,0.923,0.377,0.844,0.832,0.892,0.649,0.909,0.9,0.926
81.27,5.539552092552185,0.6857366771159875,0.9872746553552492,0.7191011235955056,0.7825327510917031,0.5923653715064758,0.9351851851851852,0.89937106918239,0.8639705882352942,0.938185443668993,0.9493801652892562,0.875,0.931,0.704,0.896,0.869,0.909,0.143,0.94,0.941,0.919
83.86,4.5094946920871735,0.7923604309500489,0.9946236559139785,0.8308270676691729,0.7839721254355401,0.7131578947368421,0.9174757281553398,0.5965665236051502,0.933982683982684,0.945054945054945,0.8977695167286245,0.809,0.925,0.663,0.9,0.813,0.945,0.556,0.863,0.946,0.966
84.75,4.265205264091492,0.8106448311156602,0.9936102236421726,0.7460168697282099,0.7810858143607706,0.7420901246404602,0.9447236180904522,0.6556372549019608,0.9126117179741807,0.9443339960238568,0.9365079365079365,0.792,0.933,0.796,0.892,0.774,0.94,0.535,0.919,0.95,0.944
84.74,4.245209038257599,0.7627118644067796,0.9895724713242962,0.803921568627451,0.7740585774058577,0.7840172786177105,0.9474747474747475,0.6425178147268409,0.9338313767342583,0.9300970873786408,0.8955637707948244,0.855,0.949,0.738,0.925,0.726,0.938,0.541,0.875,0.958,0.969
85.64,3.998704195022583,0.7639257294429708,0.9875518672199171,0.8279816513761468,0.8665318503538928,0.7411444141689373,0.9677754677754677,0.6268980477223427,0.9051306873184899,0.9475766567754699,0.9369458128078818,0.864,0.952,0.722,0.857,0.816,0.931,0.578,0.935,0.958,0.951
85.99,3.907673418521881,0.8422174840085288,0.9926238145416227,0.8299319727891157,0.8206071757129715,0.7523364485981309,0.9519519519519519,0.6221804511278195,0.9312114989733059,0.955044955044955,0.9285714285714286,0.79,0.942,0.732,0.892,0.805,0.951,0.662,0.907,0.956,0.962
86.29,3.8840211629867554,0.8187372708757638,0.9806714140386572,0.7779904306220096,0.7822033898305085,0.7993596584845251,0.9438976377952756,0.7,0.9114785992217899,0.9429695181907571,0.9598765432098766,0.804,0.964,0.813,0.923,0.749,0.959,0.588,0.937,0.959,0.933
86.73,3.7472970485687256,0.7893772893772893,0.9797979797979798,0.7634212920837125,0.8614931237721022,0.7980769230769231,0.9709844559585492,0.7014563106796117,0.9195289499509323,0.938953488372093,0.9336585365853659,0.862,0.97,0.839,0.877,0.747,0.937,0.578,0.937,0.969,0.957
86.13,3.963783472776413,0.7730870712401056,0.9816700610997964,0.7296849087893864,0.810905892700088,0.8520408163265306,0.9866666666666667,0.7506963788300836,0.8522727272727273,0.9426627793974732,0.9636552440290758,0.879,0.964,0.88,0.922,0.668,0.888,0.539,0.975,0.97,0.928
