44,19,31,30,12
3,17,8,28,29
20,15,28,0,44
20,21,22,41,3
27,22,39,47,17
12,39,2,40,42
26,5,27,8,30
18,39,44,2,22
23,43,4,26,39
14,25,46,20,37
11,38,7,19,1
31,43,26,37,45
41,31,9,30,19
48,40,10,24,17
42,29,32,12,44
36,6,38,18,16
41,20,48,15,2
22,45,23,35,27
8,19,25,0,21
27,48,23,11,17
35,44,49,48,47
40,37,2,22,25
25,44,8,28,4
23,37,42,11,44
26,27,9,35,17
47,48,5,35,42
11,8,0,1,48
19,16,39,38,1
28,17,18,36,5
41,7,36,32,5
20,22,29,42,47
13,9,46,10,34
23,38,18,16,28
7,3,36,17,47
23,13,8,5,0
43,48,38,16,34
34,15,26,18,16
2,20,8,45,0
38,21,40,49,28
14,20,33,47,25
13,41,26,31,44
13,4,27,33,41
7,45,44,29,2
18,35,16,47,23
1,45,44,19,0
41,14,19,3,45
18,39,41,1,3
33,38,43,19,40
35,5,48,25,43
24,8,31,23,36
5,44,27,36,29
5,12,8,25,9
24,41,7,15,35
40,44,28,11,15
10,3,0,44,15
33,41,23,13,40
3,9,27,29,25
16,36,15,8,22
10,44,11,31,22
9,24,13,33,42
17,19,29,30,46
1,34,21,35,48
11,31,39,46,19
31,15,12,1,26
0,12,41,47,39
29,22,28,32,7
8,41,39,12,40
30,13,38,42,12
11,18,48,34,10
41,20,29,42,18
8,16,44,4,26
19,35,39,21,2
6,49,14,37,21
36,43,49,5,2
4,0,19,38,24
23,47,19,7,18
13,2,31,4,44
37,24,47,31,5
4,15,30,0,14
39,21,45,16,36
32,28,19,39,22
26,28,4,12,49
40,18,20,24,22
34,19,30,23,14
2,43,41,3,29
18,47,14,39,8
8,34,47,13,4
38,4,1,37,13
15,14,1,12,19
39,5,42,32,17
36,47,41,32,2
40,35,8,17,45
45,42,34,3,22
2,17,33,47,13
22,25,49,46,31
31,7,2,47,46
37,34,11,10,5
12,40,5,6,8
34,43,45,49,7
47,39,33,23,11
