4,12,33,16,42
25,11,3,49,30
22,8,13,49,18
28,23,34,2,10
48,22,32,40,18
42,47,5,17,12
31,1,10,18,23
27,35,26,0,37
10,11,13,38,44
27,32,46,43,25
2,47,11,38,29
24,0,49,23,5
10,34,20,15,31
25,40,2,14,4
11,42,21,16,8
48,26,16,36,33
42,25,8,28,21
17,13,33,36,2
44,27,36,38,10
4,45,20,12,43
30,43,4,42,28
34,26,24,25,41
10,18,41,49,29
22,15,23,17,11
49,7,36,0,35
29,43,25,10,23
1,16,18,21,17
31,25,0,23,1
24,30,9,19,46
30,11,46,41,12
29,48,31,47,41
29,6,7,49,19
32,33,37,22,25
38,44,21,30,40
32,30,13,36,49
48,10,28,30,31
16,28,25,8,0
19,14,0,41,9
22,16,32,1,49
26,48,46,14,37
5,44,13,12,17
1,18,33,30,12
32,9,20,36,38
9,2,34,46,7
44,31,5,25,6
44,25,36,3,16
45,27,2,20,21
19,49,6,26,8
16,41,31,21,22
28,6,17,2,0
43,36,34,9,38
31,46,45,38,6
36,29,30,19,1
34,0,41,35,10
29,22,40,27,31
33,14,37,29,39
42,16,47,10,0
22,49,34,48,3
26,46,23,27,49
0,45,47,43,8
42,30,6,25,4
14,12,39,0,25
31,11,24,5,41
44,21,9,3,0
24,35,18,5,21
12,32,45,30,37
36,11,1,33,14
4,36,35,39,27
7,38,6,20,45
4,17,11,25,38
7,0,29,40,48
42,33,46,34,38
0,45,15,44,48
15,9,49,35,22
47,2,44,43,25
14,20,0,41,1
40,17,25,24,8
10,32,4,33,0
37,9,18,13,14
46,13,44,39,33
42,14,12,9,24
36,42,18,33,38
24,11,37,3,44
35,46,27,16,12
8,34,9,25,0
47,15,37,41,31
49,18,45,30,32
12,6,24,5,2
0,2,16,12,27
28,47,18,15,36
25,11,39,23,3
34,42,16,36,29
45,28,17,15,49
11,1,39,48,12
16,25,31,17,41
19,4,5,33,8
37,34,10,18,0
23,2,5,33,14
48,35,29,23,32
25,32,15,10,8
